State,Institution,Total Enrolments,Natural and Physical Sciences,Information Technology,Engineering and Related Technologies,Architecture and Building,"Agriculture, Environmental and Related Studies",Health,Education,Management and Commerce,Society and Culture,Creative Arts,"Food, Hospitality and Personal Services"
Australian Capital Territory,Total,"40,964","4,127","4,055","1,605",685,616,"5,860","2,033","7,807","14,968","1,727",0
Australian Capital Territory,Non-University Higher Education Providers,"1,272",-1,77,0,0,0,"1,196",0,0,0,0,0
Australian Capital Territory,The Australian National University,"22,939","3,704","1,845","1,368",0,513,809,0,"5,717","10,539",459,0
Australian Capital Territory,University of Canberra,"16,753",424,"2,133",237,685,103,"3,855","2,033","2,090","4,429","1,268",0
Multi-State,Total,"37,277",497,689,0,0,0,"15,720","10,575","2,407","8,074",307,0
Multi-State,Australian Catholic University,"34,793",497,689,0,0,0,"15,720","10,575","2,407","5,636",307,0
Multi-State,Non-University Higher Education Providers,"2,484",0,0,0,0,0,0,0,0,"2,438",0,0
New South Wales,Total,"545,887","40,537","58,646","42,616","14,585",5629,"69,645","43,500","142,233","119,142","33,758",231
New South Wales,Avondale University,"1,106",5,0,0,0,0,383,321,72,532,31,0
New South Wales,Charles Sturt University,"35,070","1,121","1,787",172,0,1681,"8,745","7,979","3,829","9,335",160,0
New South Wales,Macquarie University,"44,961","3,638","6,055","2,440",233,675,"3,202","3,750","12,072","16,645","2,457",0
New South Wales,Non-University Higher Education Providers,"97,679","1,346","13,612",596,232,55,"1,783","4,452","47,104","18,973","10,023",151
New South Wales,Southern Cross University,"18,421",583,869,530,0,188,"4,212","6,535","1,992","2,445",534,80
New South Wales,The University of New England,"19,387","2,166",735,5,428,1310,"1,497","3,970","1,966","7,091",215,0
New South Wales,The University of Newcastle,"34,874","2,007","1,459","2,463","1,457",714,"9,422","4,314","4,751","7,587","1,304",0
New South Wales,The University of Sydney,"78,882","10,087","5,329","7,840","3,126",547,"12,520","2,862","16,348","19,034","4,123",0
New South Wales,University of New South Wales,"82,283","8,620","12,481","15,207","3,073",207,"5,326","2,481","24,857","12,936","5,611",0
New South Wales,University of Technology Sydney,"50,387","5,248","6,476","7,322","2,792",88,"5,694",981,"14,095","7,600","5,602",0
New South Wales,University of Wollongong,"34,942","2,126","7,364","3,539",0,144,"4,931","2,937","6,971","5,332","1,873",0
New South Wales,Western Sydney University,"47,895","3,590","2,479","2,502","3,244",20,"11,930","2,918","8,176","11,632","1,825",0
Northern Territory,Total,"12,796",283,"1,339",847,0,283,"3,966","1,754","1,029","2,228",19,0
Northern Territory,Batchelor Institute of Indigenous Tertiary Education,22,0,0,0,0,0,0,0,0,22,0,0
Northern Territory,Charles Darwin University,"12,774",283,"1,339",847,0,283,"3,966","1,754","1,029","2,206",19,0
Queensland,Total,"249,715","20,882","18,421","20,943","4,863",3571,"58,070","20,531","45,052","47,903","15,759",0
Queensland,Bond University,"5,945",217,11,0,513,3,"1,618",9,"1,274","1,536",222,0
Queensland,CQUniversity,"22,035",327,"2,306","1,401",516,237,"7,419","2,240","3,145","2,286",338,0
Queensland,Griffith University,"44,683","3,363","2,789","2,187",594,646,"9,344","4,180","8,299","10,886","3,533",0
Queensland,James Cook University,"19,899","1,987","1,030",651,33,240,"5,894","1,534","3,825","3,583",23,0
Queensland,Non-University Higher Education Providers,"7,907",84,138,279,0,0,"3,952",494,516,"2,258",183,0
Queensland,Queensland University of Technology,"52,564","3,381","6,675","5,900","2,139",0,"8,455","4,826","11,959","8,403","6,567",0
Queensland,The University of Queensland,"57,239","8,758","3,751","6,787",936,1604,"10,992","2,123","12,956","11,796","2,015",0
Queensland,University of Southern Queensland,"20,572","1,370","1,013","3,099",54,198,"4,128","3,347","1,410","3,473","1,898",0
Queensland,University of the Sunshine Coast,"18,871","1,395",708,639,78,643,"6,268","1,778","1,668","3,682",980,0
South Australia,Total,"124,115","6,258","11,659","7,830","4,249",1310,"30,822","10,011","25,047","19,743","7,537",53
South Australia,Flinders University,"24,962","2,108","1,123","1,307",0,174,"8,473","2,472","1,815","5,775","1,267",0
South Australia,Private Universities and Non-University Higher Education Providers,"9,152",0,225,262,0,0,293,"2,554","4,120","1,246",434,0
South Australia,The University of Adelaide,"30,582","3,315","3,371","4,080",602,963,"6,245",940,"5,035","6,261","1,179",0
South Australia,Torrens University Australia,"25,445",0,"4,293",2,"1,500",0,"6,475",474,"8,029","1,773","2,838",53
South Australia,University of South Australia,"33,974",835,"2,647","2,179","2,147",173,"9,336","3,571","6,048","4,688","1,819",0
Tasmania,Total,"32,100","2,289","1,694","1,244",297,1824,"12,968","2,636","2,732","4,778","1,038",0
Tasmania,University of Tasmania,"32,100","2,289","1,694","1,244",297,1824,"12,968","2,636","2,732","4,778","1,038",0
Victoria,Total,"470,909","44,211","56,254","33,189","13,000",3816,"67,492","43,764","108,677","84,784","30,244",149
Victoria,Deakin University,"59,455","3,369","8,139","2,430","1,730",911,"11,538","6,276","11,105","15,003","1,976",0
Victoria,Federation University Australia,"12,450",983,"1,866",871,0,0,"3,809","1,931",725,"1,810",134,0
Victoria,La Trobe University,"37,459","3,884","4,060",833,55,248,"13,085","3,779","5,143","6,476",300,0
Victoria,Monash University,"93,227","13,000","11,565","9,524",948,226,"15,365","4,551","24,660","18,520","5,170",0
Victoria,Non-University Higher Education Providers,"35,561",307,"9,120",688,316,301,"2,882","1,955","8,788","8,722","2,363",149
Victoria,RMIT University,"75,909","4,295","7,812","10,890","4,308",334,"3,539","1,618","26,645","6,163","11,252",0
Victoria,Swinburne University of Technology,"45,396","1,102","7,370","4,802",752,23,"2,171","9,408","9,278","7,003","4,754",0
Victoria,The University of Melbourne,"75,572","16,699","2,882","2,741","4,064",1636,"8,519","4,340","14,851","14,976","4,087",0
Victoria,University of Divinity,"1,245",0,0,0,0,0,0,0,0,"1,196",0,0
Victoria,Victoria University,"34,635",572,"3,440",410,827,137,"6,584","9,906","7,482","4,915",208,0
Western Australia,Total,"162,314","15,736","11,589","14,819","3,357",2338,"30,975","18,401","33,879","27,868","5,678",71
Western Australia,Curtin University,"56,828","4,412","2,465","6,149","2,477",274,"10,642","7,366","12,808","9,011","2,522",0
Western Australia,Edith Cowan University,"30,859","1,198","3,103","2,013",0,344,"7,247","6,228","4,931","4,465","1,539",0
Western Australia,Murdoch University,"24,781","2,384","3,253",735,0,978,"2,747","1,600","6,327","5,924",821,0
Western Australia,Non-University Higher Education Providers,"8,271",0,"1,543","2,302",88,0,"1,522",0,"2,096",77,459,71
Western Australia,The University of Notre Dame Australia,"12,006",357,5,0,53,0,"5,386","2,887",880,"2,493",26,0
Western Australia,The University of Western Australia,"29,569","7,385","1,220","3,620",739,742,"3,431",320,"6,837","5,898",311,0
